application_id,company_experience_years,previous_similar_projects,total_employees,engineers_count,machinery_count,offered_budget_MAD,estimated_budget_MAD,budget_difference_ratio,proposed_duration_days,total_length_km,road_width_m,lanes,category,road_class,terrain_type,soil_type,slope,compliance_issues_count,technical_score,financial_score,is_fraudulent
9239,19,3,548,5,10,265000000,409000000,-0.3521,1259,236,7,2,Regional,Secondary,Flat,Rocky,Moderate,3,45.29,100.0,1
7616,3,4,146,1,3,29500000,48000000,-0.3854,293,98,3,1,Provincial,Secondary,Mixed,Rocky,Moderate,2,44.33,100.0,1
7793,19,6,237,4,11,130000000,95500000,0.3613,630,162,3,1,Provincial,Secondary,Coastal,Sandy,Low,3,37.16,73.46,1
4830,29,6,655,9,12,439500000,410500000,0.0706,582,217,7,2,National,Primary,Desert,Sandy,Moderate,0,71.45,93.4,0
4758,4,2,146,1,6,148500000,145500000,0.0206,213,82,7,2,Regional,Secondary,Flat,Sandy,High,0,76.44,97.98,0
5069,5,7,944,11,21,51500000,57000000,-0.0965,436,118,3,1,Provincial,Secondary,Mixed,Clay,High,1,88.47,100.0,0
2082,15,7,334,4,18,564500000,561500000,0.0053,455,103,14,4,National,Primary,Coastal,Rocky,Moderate,1,98.79,99.47,0
9618,29,5,992,3,61,1470000000,1034000000,0.4217,882,153,14,4,Autoroute,Primary,Mixed,Rocky,Moderate,2,37.25,70.34,1
6500,28,8,535,8,28,614000000,647500000,-0.0517,285,126,14,4,National,Primary,Mixed,Rocky,Low,0,95.04,100.0,0
7210,18,3,764,6,7,435000000,743000000,-0.4145,680,134,14,4,Autoroute,Primary,Desert,Sandy,Low,3,45.88,100.0,1
1135,10,3,591,3,21,51500000,54000000,-0.0463,470,109,3,1,Provincial,Secondary,Mixed,Sandy,High,0,96.55,100.0,0
8123,12,9,505,4,10,284500000,201000000,0.4154,634,108,7,2,Regional,Secondary,Mountainous,Rocky,Moderate,3,52.96,70.65,1
6768,8,6,682,12,35,63500000,67500000,-0.0593,188,32,7,2,National,Primary,Coastal,Rocky,Moderate,0,70.77,100.0,0
7302,9,3,194,1,5,30500000,20000000,0.525,166,44,3,1,Provincial,Secondary,Flat,Clay,High,2,46.01,65.57,1
8349,9,4,111,1,3,67500000,43500000,0.5517,565,97,3,1,Provincial,Secondary,Flat,Sandy,High,2,49.75,64.44,1
7790,29,6,921,3,37,449000000,711000000,-0.3685,1067,236,7,2,National,Primary,Mountainous,Sandy,Moderate,3,40.86,100.0,1
9367,13,3,474,7,13,148000000,111500000,0.3274,530,194,3,1,Provincial,Secondary,Coastal,Rocky,Moderate,3,43.81,75.34,1
6049,9,9,246,3,9,174000000,187000000,-0.0695,139,35,14,4,Autoroute,Primary,Flat,Rocky,Moderate,0,86.17,100.0,0
109,19,5,582,9,15,1353000000,1315000000,0.0289,704,185,14,4,Autoroute,Primary,Mixed,Clay,Moderate,0,94.52,97.19,0
8705,15,5,304,5,16,52500000,90000000,-0.4167,627,201,3,1,Provincial,Secondary,Desert,Clay,Low,2,43.81,100.0,1
8996,29,6,563,9,7,713000000,538500000,0.324,1098,230,7,2,National,Primary,Coastal,Rocky,Moderate,2,43.32,75.53,1
7484,18,3,617,6,15,45000000,86000000,-0.4767,615,176,3,1,Provincial,Secondary,Coastal,Clay,High,2,49.63,100.0,1
5336,20,6,327,4,9,87000000,81500000,0.0675,178,40,7,2,National,Primary,Coastal,Clay,Moderate,0,91.75,93.68,0
9652,14,9,857,8,34,406500000,706000000,-0.4242,672,128,14,4,Autoroute,Primary,Flat,Sandy,Low,3,33.77,100.0,1
6229,5,4,762,9,9,588000000,580000000,0.0138,827,196,7,2,National,Primary,Coastal,Sandy,High,0,71.65,98.64,0
9507,1,3,91,1,3,46500000,30500000,0.5246,341,61,3,1,Provincial,Secondary,Mountainous,Rocky,High,3,31.18,65.59,1
3128,7,9,668,12,5,68000000,74000000,-0.0811,564,144,3,1,Provincial,Secondary,Flat,Rocky,Low,0,92.64,100.0,0
1960,26,5,643,7,36,282000000,260500000,0.0825,1012,176,7,2,Regional,Secondary,Mixed,Rocky,Low,1,83.59,92.38,0
8854,24,8,783,7,23,193000000,314500000,-0.3863,627,123,7,2,National,Primary,Mixed,Sandy,Moderate,3,50.17,100.0,1
832,22,3,845,12,6,1156500000,1236000000,-0.0643,906,206,14,4,Autoroute,Primary,Flat,Sandy,High,0,92.13,100.0,0
3988,26,8,474,4,26,822500000,894000000,-0.08,288,107,14,4,Autoroute,Primary,Mountainous,Sandy,High,0,99.5,100.0,0
9075,27,7,216,4,6,177500000,353000000,-0.4972,289,51,14,4,Autoroute,Primary,Mixed,Rocky,Moderate,2,30.06,100.0,1
2960,26,6,942,10,34,51000000,48000000,0.0625,390,109,3,1,Provincial,Secondary,Mixed,Rocky,Moderate,1,70.51,94.12,0
462,10,4,413,6,19,322000000,324500000,-0.0077,848,185,7,2,Regional,Secondary,Coastal,Clay,Moderate,1,87.32,100.0,0
6603,24,5,649,11,19,91500000,97500000,-0.0615,1115,233,3,1,Provincial,Secondary,Mixed,Sandy,High,0,94.96,100.0,0
2010,29,3,825,13,31,152500000,139500000,0.0932,725,189,3,1,Regional,Secondary,Mountainous,Sandy,Low,0,82.31,91.48,0
7914,8,9,540,9,29,476500000,783500000,-0.3918,588,236,7,2,National,Primary,Mountainous,Rocky,Moderate,2,36.51,100.0,1
2040,11,9,757,12,18,98000000,101000000,-0.0297,778,183,3,1,Provincial,Secondary,Flat,Rocky,Moderate,0,97.56,100.0,0
8928,2,1,62,1,3,16500000,30500000,-0.459,182,57,3,1,Provincial,Secondary,Mountainous,Rocky,High,3,46.16,100.0,1
2287,17,9,520,3,32,89000000,86500000,0.0289,433,128,3,1,Provincial,Secondary,Coastal,Rocky,High,0,87.62,97.19,0
610,11,4,759,12,21,49000000,48500000,0.0103,477,108,3,1,Provincial,Secondary,Desert,Clay,Moderate,0,92.75,98.98,0
1120,13,5,700,7,6,257500000,277500000,-0.0721,238,47,14,4,Autoroute,Primary,Coastal,Clay,Low,0,81.52,100.0,0
8514,16,3,446,3,27,885500000,1412000000,-0.3729,576,202,14,4,Autoroute,Primary,Desert,Sandy,High,3,49.69,100.0,1
9310,6,7,280,3,17,61000000,108500000,-0.4378,625,134,3,1,Provincial,Secondary,Mountainous,Sandy,Moderate,2,51.75,100.0,1
730,18,8,726,4,16,83000000,90000000,-0.0778,306,123,3,1,Provincial,Secondary,Mountainous,Rocky,High,0,73.12,100.0,0
3616,4,2,112,1,4,40000000,40000000,0.0,222,66,3,1,Provincial,Secondary,Mixed,Rocky,Low,0,83.69,100.0,0
6915,16,3,572,7,25,1025500000,1073500000,-0.0447,496,172,14,4,Autoroute,Primary,Desert,Sandy,Low,0,74.74,100.0,0
2475,29,3,795,12,15,133500000,125000000,0.068,1108,205,3,1,Regional,Secondary,Mixed,Rocky,Moderate,0,79.7,93.63,0
7236,9,9,627,3,13,79500000,124500000,-0.3614,217,53,7,2,National,Primary,Flat,Rocky,High,2,39.24,100.0,1
6636,14,9,465,4,27,293000000,318000000,-0.0786,601,144,7,2,National,Primary,Mixed,Clay,Moderate,0,93.51,100.0,0
9580,21,4,436,5,28,863500000,1625500000,-0.4688,943,234,14,4,Autoroute,Primary,Flat,Clay,High,2,37.82,100.0,1
5948,19,9,807,5,41,99500000,91000000,0.0934,351,175,3,1,Provincial,Secondary,Flat,Rocky,Low,0,84.95,91.46,0
39,9,0,195,1,8,69000000,76000000,-0.0921,269,82,3,1,Regional,Secondary,Flat,Sandy,High,1,86.68,100.0,0
3549,10,4,727,7,22,298500000,322000000,-0.073,202,42,14,4,Autoroute,Primary,Desert,Rocky,High,0,91.72,100.0,0
1628,3,2,72,1,4,70000000,74500000,-0.0604,152,59,7,2,Regional,Secondary,Desert,Clay,Low,0,73.56,100.0,0
3897,5,9,272,4,16,121000000,113000000,0.0708,161,36,7,2,National,Primary,Mountainous,Sandy,High,0,97.57,93.39,0
9975,14,3,615,8,9,975000000,626500000,0.5563,602,112,14,4,Autoroute,Primary,Desert,Rocky,Moderate,2,38.29,64.26,1
2786,26,9,619,6,22,224500000,218500000,0.0275,405,73,7,2,National,Primary,Flat,Clay,High,0,88.81,97.33,0
701,26,6,803,15,29,542000000,516500000,0.0494,393,67,14,4,Autoroute,Primary,Coastal,Sandy,High,1,93.0,95.3,0
2928,6,4,94,1,3,26500000,26500000,0.0,352,66,3,1,Provincial,Secondary,Flat,Clay,Low,0,74.68,100.0,0
8354,22,9,576,3,33,192500000,287000000,-0.3293,279,103,7,2,National,Primary,Mountainous,Sandy,Low,3,47.82,100.0,1
3312,23,8,966,18,40,214000000,220500000,-0.0295,474,130,7,2,Regional,Secondary,Flat,Rocky,Moderate,1,94.5,100.0,0
3413,7,4,211,3,10,1597000000,1518500000,0.0517,740,218,14,4,Autoroute,Primary,Coastal,Clay,High,0,81.19,95.08,0
267,24,5,268,3,8,1382500000,1318500000,0.0485,585,194,14,4,Autoroute,Primary,Coastal,Rocky,Low,0,86.6,95.37,0
8509,20,8,937,13,13,57500000,93000000,-0.3817,726,133,3,1,Regional,Secondary,Flat,Rocky,Moderate,2,30.56,100.0,1
9033,20,9,740,3,15,219500000,384500000,-0.4291,271,128,7,2,National,Primary,Mountainous,Sandy,High,2,30.09,100.0,1
4939,7,1,99,1,4,60000000,57500000,0.0435,318,82,3,1,Provincial,Secondary,Desert,Sandy,High,0,86.38,95.83,0
7693,16,3,744,12,46,481500000,799500000,-0.3977,578,123,14,4,Autoroute,Primary,Mixed,Clay,Low,3,36.62,100.0,1
455,11,9,873,8,54,1518500000,1676000000,-0.094,1003,187,14,4,Autoroute,Primary,Mountainous,Rocky,High,0,76.33,100.0,0
334,19,6,630,6,23,53500000,53000000,0.0094,778,138,3,1,Provincial,Secondary,Desert,Rocky,Low,0,78.89,99.07,0
560,6,8,949,3,53,114500000,117000000,-0.0214,873,212,3,1,Provincial,Secondary,Desert,Clay,Low,0,85.51,100.0,0
595,4,3,94,1,3,129500000,125500000,0.0319,524,98,7,2,Regional,Secondary,Flat,Sandy,High,0,79.6,96.91,0
8352,25,7,517,8,13,102000000,164000000,-0.378,586,179,3,1,Regional,Secondary,Mixed,Sandy,High,2,42.82,100.0,1
1409,15,8,793,9,9,2140000000,2044000000,0.047,633,239,14,4,Autoroute,Primary,Coastal,Clay,High,1,89.85,95.51,0
6675,28,7,874,6,56,261000000,287000000,-0.0906,295,107,7,2,National,Primary,Coastal,Sandy,Moderate,1,81.82,100.0,0
2632,6,4,264,3,12,61000000,61500000,-0.0081,378,177,3,1,Provincial,Secondary,Desert,Clay,Low,0,99.65,100.0,0
2831,25,9,638,6,14,469500000,471000000,-0.0032,498,140,7,2,National,Primary,Mountainous,Clay,Moderate,0,94.26,100.0,0
744,16,3,212,3,13,128000000,125500000,0.0199,202,77,7,2,National,Primary,Flat,Sandy,Low,0,94.84,98.05,0
9413,6,8,484,6,14,36000000,69000000,-0.4783,558,132,3,1,Provincial,Secondary,Flat,Sandy,Low,3,44.81,100.0,1
7006,26,9,819,14,22,71000000,133500000,-0.4682,172,70,7,2,National,Primary,Desert,Sandy,Moderate,2,30.59,100.0,1
533,6,7,614,4,32,795000000,734000000,0.0831,219,98,14,4,Autoroute,Primary,Mountainous,Sandy,Low,0,85.11,92.33,0
4507,2,0,66,1,4,27000000,26500000,0.0189,301,54,3,1,Provincial,Secondary,Desert,Clay,High,0,82.75,98.15,0
2331,28,4,254,4,11,414500000,416500000,-0.0048,330,66,14,4,Autoroute,Primary,Desert,Clay,High,0,75.81,100.0,0
1102,15,9,213,3,8,900500000,993500000,-0.0936,798,140,14,4,Autoroute,Primary,Coastal,Clay,Moderate,0,75.69,100.0,0
6661,15,8,863,3,38,100500000,99000000,0.0152,330,143,3,1,Provincial,Secondary,Mixed,Rocky,Moderate,1,71.9,98.51,0
9397,18,7,214,4,8,124000000,87000000,0.4253,291,142,3,1,Provincial,Secondary,Flat,Clay,High,2,53.18,70.16,1
4605,15,9,744,6,32,802000000,876500000,-0.085,343,162,14,4,Autoroute,Primary,Desert,Clay,Low,0,79.49,100.0,0
2103,14,7,527,6,14,91500000,84500000,0.0828,772,201,3,1,Provincial,Secondary,Desert,Rocky,Low,0,86.83,92.35,0
390,7,6,469,7,21,98000000,101500000,-0.0345,422,131,3,1,Regional,Secondary,Desert,Rocky,High,0,88.36,100.0,0
1644,9,3,565,3,16,155500000,160500000,-0.0312,911,246,3,1,Regional,Secondary,Flat,Clay,Moderate,0,79.62,100.0,0
796,9,2,193,2,6,45500000,50000000,-0.09,87,34,7,2,Regional,Secondary,Coastal,Clay,Low,0,73.22,100.0,0
9334,5,3,147,1,3,15500000,26000000,-0.4038,284,66,3,1,Provincial,Secondary,Flat,Clay,Low,2,34.04,100.0,1
6354,13,6,481,8,7,528000000,527500000,0.0009,296,68,14,4,Autoroute,Primary,Coastal,Rocky,High,1,78.83,99.91,0
6975,25,5,580,6,31,93000000,94500000,-0.0159,1066,180,3,1,Provincial,Secondary,Mountainous,Sandy,High,0,89.29,100.0,0
2576,5,0,35,1,4,76500000,84000000,-0.0893,323,58,7,2,Regional,Secondary,Desert,Clay,Low,1,96.04,100.0,0
4498,13,9,526,5,22,1495500000,1557000000,-0.0395,1314,243,14,4,Autoroute,Primary,Coastal,Clay,Low,0,86.0,100.0,0
3395,4,2,194,1,4,47000000,49000000,-0.0408,290,72,3,1,Provincial,Secondary,Mixed,Clay,High,0,79.04,100.0,0
1974,10,5,281,3,11,140000000,145000000,-0.0345,1122,198,3,1,Regional,Secondary,Desert,Sandy,Low,1,81.24,100.0,0
4126,7,8,913,14,42,791500000,788000000,0.0044,600,221,14,4,National,Primary,Flat,Rocky,Moderate,0,98.17,99.56,0
6800,9,9,771,8,5,553000000,506500000,0.0918,416,199,7,2,National,Primary,Mixed,Rocky,High,0,87.9,91.59,0
962,22,3,921,12,44,726500000,790500000,-0.081,330,118,14,4,Autoroute,Primary,Desert,Clay,High,0,98.92,100.0,0
6056,4,0,54,1,3,37000000,41000000,-0.0976,367,82,3,1,Provincial,Secondary,Mixed,Rocky,Moderate,0,95.51,100.0,0
1904,3,0,132,1,4,55000000,56500000,-0.0265,157,30,7,2,Regional,Secondary,Mixed,Sandy,Moderate,1,77.08,100.0,0
7831,15,8,822,15,16,182500000,282500000,-0.354,429,141,7,2,National,Primary,Mixed,Rocky,Moderate,3,54.92,100.0,1
5527,2,0,146,1,3,62000000,59500000,0.042,554,95,3,1,Provincial,Secondary,Coastal,Rocky,Low,0,96.82,95.97,0
3724,9,0,51,1,3,49000000,47500000,0.0316,246,71,3,1,Regional,Secondary,Flat,Rocky,Moderate,0,88.58,96.94,0
8403,25,4,201,4,8,90500000,64500000,0.4031,625,193,3,1,Provincial,Secondary,Mixed,Rocky,Low,3,53.22,71.27,1
6771,10,4,970,11,15,269000000,252000000,0.0675,254,43,14,4,Autoroute,Primary,Coastal,Rocky,Low,0,92.56,93.68,0
8379,13,8,840,5,44,781000000,1419500000,-0.4498,981,205,14,4,Autoroute,Primary,Mountainous,Rocky,Low,2,38.41,100.0,1
7659,8,4,132,1,3,32000000,47000000,-0.3191,451,90,3,1,Provincial,Secondary,Desert,Sandy,Low,2,38.36,100.0,1
8729,8,0,129,1,5,71000000,128500000,-0.4475,415,81,7,2,Regional,Secondary,Flat,Rocky,Moderate,3,42.11,100.0,1
6236,8,8,480,6,22,709500000,728500000,-0.0261,1192,242,7,2,National,Primary,Mountainous,Clay,Low,1,72.05,100.0,0
8280,10,8,233,4,10,88500000,162000000,-0.4537,981,228,3,1,Provincial,Secondary,Mixed,Clay,Moderate,3,36.1,100.0,1
2897,26,7,461,4,29,76500000,82000000,-0.0671,70,30,7,2,National,Primary,Coastal,Sandy,High,0,73.72,100.0,0
3468,5,7,455,3,19,144500000,141500000,0.0212,312,124,7,2,Regional,Secondary,Flat,Sandy,Low,0,93.35,97.92,0
4130,22,7,959,11,47,84000000,83000000,0.012,1015,203,3,1,Provincial,Secondary,Desert,Rocky,Moderate,0,98.94,98.81,0
5297,8,3,120,1,3,55000000,59500000,-0.0756,197,62,3,1,Provincial,Secondary,Mountainous,Sandy,High,1,85.69,100.0,0
2704,12,7,849,4,23,513000000,513500000,-0.001,532,189,7,2,National,Primary,Mountainous,Sandy,Moderate,0,70.18,100.0,0
5295,9,4,375,4,16,472500000,437000000,0.0812,124,53,14,4,Autoroute,Primary,Mountainous,Clay,Moderate,0,95.68,92.49,0
504,9,8,360,6,22,187500000,208500000,-0.1007,270,85,7,2,National,Primary,Coastal,Rocky,Low,1,77.82,100.0,0
283,24,6,360,6,12,139000000,146500000,-0.0512,1108,201,3,1,Regional,Secondary,Mountainous,Sandy,Moderate,0,71.01,100.0,0
6718,16,3,235,4,14,108000000,99500000,0.0854,388,153,3,1,Provincial,Secondary,Desert,Clay,Moderate,0,81.21,92.13,0
9799,12,7,632,6,19,74500000,54500000,0.367,361,128,3,1,Provincial,Secondary,Desert,Rocky,Low,3,53.87,73.15,1
9097,28,5,614,10,26,188500000,130000000,0.45,833,207,3,1,Provincial,Secondary,Coastal,Clay,Moderate,3,34.97,68.97,1
6155,17,6,831,11,28,190000000,204000000,-0.0686,444,139,7,2,Regional,Secondary,Coastal,Rocky,High,0,97.55,100.0,0
7699,24,9,580,3,23,944500000,1659500000,-0.4309,702,228,14,4,Autoroute,Primary,Coastal,Sandy,High,2,52.65,100.0,1
2733,3,1,162,1,7,38500000,39500000,-0.0253,187,43,3,1,Regional,Secondary,Desert,Rocky,High,0,72.95,100.0,0
4116,20,5,717,10,25,237500000,225000000,0.0556,490,110,7,2,Regional,Secondary,Desert,Rocky,High,0,81.8,94.74,0
6322,3,4,88,1,4,20500000,19000000,0.0789,145,31,3,1,Provincial,Secondary,Mountainous,Clay,High,0,73.32,92.68,0
2844,20,3,431,4,14,79500000,73500000,0.0816,750,140,3,1,Provincial,Secondary,Mountainous,Sandy,High,0,75.23,92.45,0
7113,4,4,76,1,3,34000000,54500000,-0.3761,224,38,7,2,Regional,Secondary,Flat,Sandy,Low,2,52.8,100.0,1
8094,20,7,602,8,28,145500000,95500000,0.5236,260,116,3,1,Provincial,Secondary,Coastal,Sandy,High,3,31.61,65.64,1
6561,25,8,266,4,9,1236500000,1302000000,-0.0503,927,248,14,4,Autoroute,Primary,Flat,Rocky,Low,0,72.41,100.0,0
2978,8,2,102,1,4,148500000,155000000,-0.0419,272,86,7,2,Regional,Secondary,Mountainous,Sandy,Moderate,0,72.01,100.0,0
2220,23,9,980,9,35,183000000,169000000,0.0828,1005,217,3,1,Regional,Secondary,Coastal,Rocky,High,0,82.64,92.35,0
3252,8,1,61,1,4,80000000,76000000,0.0526,162,50,7,2,Regional,Secondary,Mountainous,Clay,Low,0,97.95,95.0,0
337,9,1,124,1,5,33500000,33500000,0.0,242,48,3,1,Regional,Secondary,Mountainous,Clay,Low,0,80.55,100.0,0
6292,13,4,554,8,9,697500000,754000000,-0.0749,1111,187,14,4,National,Primary,Flat,Rocky,Moderate,0,99.94,100.0,0
7123,12,8,339,5,9,136000000,249500000,-0.4549,679,144,7,2,National,Primary,Desert,Clay,Low,3,50.16,100.0,1
9599,29,6,414,7,22,176000000,290500000,-0.3941,197,39,14,4,Autoroute,Primary,Mixed,Clay,High,2,48.05,100.0,1
2922,13,8,654,9,29,1055000000,1027000000,0.0273,953,172,14,4,Autoroute,Primary,Coastal,Rocky,Low,0,87.7,97.35,0
5254,19,4,645,10,14,98000000,91000000,0.0769,596,124,3,1,Regional,Secondary,Mountainous,Rocky,Moderate,0,93.72,92.86,0
9622,3,4,81,1,3,15000000,23500000,-0.3617,66,31,3,1,Regional,Secondary,Mixed,Sandy,Low,3,44.09,100.0,1
9175,14,5,771,6,46,611500000,404000000,0.5136,223,107,14,4,National,Primary,Flat,Sandy,Moderate,2,49.71,66.07,1
5146,8,8,574,3,26,587500000,572500000,0.0262,765,237,7,2,National,Primary,Mountainous,Sandy,Low,0,91.12,97.45,0
2899,5,7,348,3,7,52500000,50500000,0.0396,564,117,3,1,Provincial,Secondary,Mountainous,Rocky,Moderate,0,80.2,96.19,0
9146,6,3,620,6,24,93500000,178500000,-0.4762,921,247,3,1,Provincial,Secondary,Desert,Sandy,High,2,34.71,100.0,1
805,6,7,574,10,33,73500000,77500000,-0.0516,264,100,3,1,Provincial,Secondary,Mountainous,Clay,High,0,78.62,100.0,0
9856,25,7,641,10,5,1138500000,783500000,0.4531,541,103,14,4,Autoroute,Primary,Coastal,Sandy,High,3,48.39,68.82,1
1893,21,3,305,3,18,65000000,59500000,0.0924,463,103,3,1,Provincial,Secondary,Coastal,Clay,Low,0,78.33,91.54,0
5451,5,8,359,4,11,326000000,353500000,-0.0778,552,140,7,2,National,Primary,Flat,Rocky,High,1,94.81,100.0,0
7124,9,6,517,4,25,274000000,177500000,0.5437,431,188,3,1,Regional,Secondary,Mixed,Rocky,High,3,33.71,64.78,1
3231,8,1,133,1,4,24500000,23000000,0.0652,305,51,3,1,Provincial,Secondary,Mountainous,Clay,Moderate,0,86.03,93.88,0
8282,14,5,722,4,19,124500000,82000000,0.5183,385,107,3,1,Provincial,Secondary,Desert,Clay,High,3,50.02,65.86,1
4232,21,9,333,5,10,651000000,618500000,0.0525,929,184,7,2,National,Primary,Mountainous,Clay,Moderate,0,78.39,95.01,0
891,24,9,754,10,11,169000000,166000000,0.0181,1328,229,3,1,Regional,Secondary,Coastal,Sandy,Low,0,87.02,98.22,0
9639,7,3,611,7,19,313000000,537000000,-0.4171,377,77,14,4,Autoroute,Primary,Desert,Clay,High,2,52.29,100.0,1
3414,21,3,735,4,30,1515000000,1644500000,-0.0787,505,228,14,4,Autoroute,Primary,Desert,Rocky,High,0,74.98,100.0,0
7710,20,8,784,12,34,1046000000,705500000,0.4826,653,122,14,4,Autoroute,Primary,Mixed,Clay,Low,2,36.47,67.45,1
534,27,7,820,7,52,599000000,582000000,0.0292,495,104,14,4,Autoroute,Primary,Coastal,Sandy,Low,0,75.21,97.16,0
9951,16,8,922,17,29,88500000,128500000,-0.3113,264,75,7,2,National,Primary,Desert,Clay,Low,2,39.88,100.0,1
4359,19,7,767,11,37,219500000,204000000,0.076,472,218,3,1,Regional,Secondary,Mountainous,Clay,High,0,92.36,92.94,0
8571,27,6,345,5,8,2180000000,1445500000,0.5081,869,173,14,4,Autoroute,Primary,Mountainous,Sandy,High,3,34.93,66.31,1
1033,6,3,803,3,5,167500000,154000000,0.0877,917,194,3,1,Regional,Secondary,Flat,Clay,High,1,77.82,91.94,0
6985,11,7,846,5,10,1127500000,1036500000,0.0878,901,171,14,4,Autoroute,Primary,Desert,Clay,Low,0,93.15,91.93,0
2234,8,4,697,4,27,993500000,1034500000,-0.0396,670,168,14,4,Autoroute,Primary,Desert,Sandy,Low,1,83.55,100.0,0
9105,18,6,719,13,18,715000000,493000000,0.4503,801,226,7,2,Regional,Secondary,Mountainous,Sandy,High,2,53.33,68.95,1
5649,10,4,244,3,8,660000000,677500000,-0.0258,393,88,14,4,Autoroute,Primary,Mountainous,Sandy,Moderate,0,89.48,100.0,0
4278,27,5,891,9,17,1588000000,1669000000,-0.0485,1003,208,14,4,Autoroute,Primary,Coastal,Sandy,High,1,74.97,100.0,0
6835,8,3,53,1,3,27500000,29500000,-0.0678,148,38,3,1,Provincial,Secondary,Mountainous,Clay,High,0,97.87,100.0,0
3035,28,4,486,7,27,120500000,114000000,0.057,496,235,3,1,Provincial,Secondary,Desert,Rocky,Low,0,81.04,94.61,0
6062,21,6,715,12,17,132000000,135500000,-0.0258,846,206,3,1,Provincial,Secondary,Mountainous,Sandy,High,0,92.79,100.0,0
1160,15,4,903,4,51,102500000,98500000,0.0406,1103,226,3,1,Provincial,Secondary,Flat,Rocky,High,0,85.63,96.1,0
2301,27,4,866,15,36,266000000,287500000,-0.0748,376,116,7,2,National,Primary,Mixed,Sandy,Low,0,79.67,100.0,0
6609,13,8,960,6,39,292500000,271500000,0.0773,328,128,7,2,Regional,Secondary,Mixed,Sandy,High,1,71.73,92.82,0
307,18,3,271,3,16,375500000,406000000,-0.0751,410,82,14,4,National,Primary,Mountainous,Sandy,Low,1,81.76,100.0,0
1011,18,8,322,4,15,240000000,221500000,0.0835,271,82,7,2,National,Primary,Mixed,Clay,High,0,99.22,92.29,0
4367,7,3,133,1,4,62500000,62500000,0.0,367,84,3,1,Provincial,Secondary,Coastal,Rocky,Moderate,0,73.74,100.0,0
4640,6,6,383,5,13,195500000,198500000,-0.0151,195,83,7,2,National,Primary,Mountainous,Clay,Moderate,0,95.22,100.0,0
7196,27,3,634,3,23,154500000,238500000,-0.3522,633,147,7,2,Regional,Secondary,Coastal,Rocky,Low,2,53.46,100.0,1
9477,22,6,356,6,11,116000000,209500000,-0.4463,148,71,7,2,National,Primary,Coastal,Clay,High,3,37.55,100.0,1
2845,13,7,523,4,20,394500000,414500000,-0.0483,823,211,7,2,Regional,Secondary,Desert,Rocky,High,0,74.88,100.0,0
5642,13,8,625,8,23,370000000,347000000,0.0663,148,41,14,4,Autoroute,Primary,Mountainous,Clay,High,0,76.64,93.78,0
2268,15,8,530,8,11,130500000,119000000,0.0966,248,47,7,2,National,Primary,Coastal,Rocky,Moderate,0,78.23,91.19,0
